articleNo,articleName,articleStatus,realEstateTypeCode,realEstateTypeName,articleRealEstateTypeCode,articleRealEstateTypeName,tradeTypeCode,tradeTypeName,verificationTypeCode,floorInfo,rentPrc,priceChangeState,isPriceModification,dealOrWarrantPrc,areaName,area1,area2,direction,articleConfirmYmd,siteImageCount,articleFeatureDesc,tagList,buildingName,sameAddrCnt,sameAddrDirectCnt,sameAddrMaxPrc,sameAddrMinPrc,cpid,cpName,cpPcArticleUrl,cpPcArticleBridgeUrl,cpPcArticleLinkUseAtArticleTitleYn,cpPcArticleLinkUseAtCpNameYn,cpMobileArticleUrl,cpMobileArticleLinkUseAtArticleTitleYn,cpMobileArticleLinkUseAtCpNameYn,latitude,longitude,isLocationShow,realtorName,realtorId,tradeCheckedByOwner,isDirectTrade,isInterest,isComplex,detailAddress,detailAddressYn,isVrExposed,isSafeLessorOfHug,representativeImgUrl,representativeImgTypeCode,representativeImgThumb
2541255011,용비어천가,R0,OPST,오피스텔,A02,오피스텔,B3,단기임대,DOC,8/18,140,SAME,False,100,74C,74,37,남향,20250731,0,"공실 상태로 즉시 입주 가능함, 매매 우선임","['25년이내', '융자금없는', '역세권', '화장실한개']",1동,1,0,100/140,100/140,bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2541255011,,False,True,,False,False,37.573449,126.973341,True,광화문114공인중개사사무소,renovi114,False,False,False,True,,N,False,False,,,
2538365064,경희궁의아침2단지,R0,OPST,오피스텔,A02,오피스텔,B3,단기임대,DOC,10/16,120,SAME,False,100,53A,53,28,동향,20250716,0,,"['25년이내', '융자금없는', '역세권', '소형평수']",1동,1,0,100/120,100/120,bizmk,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2538365064,,False,True,,False,False,37.574245,126.97111,True,경희궁의아침공인중개사사무소,ki7388949,False,False,False,True,,N,False,False,/20250724_108/1753326077425YoXCY_JPEG/KakaoTalk_20241121_120047443_01.jpg,10,f130_98
